,brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
239,Mercedes-Benz,EQS 450+,210,118.0,0.0,568.0,173,685,6.2,160.0,CCS,750.0,620,5,RWD,F - Luxury,5223,1926,1518,Sedan
240,Mercedes-Benz,EQS 500 4MATIC,210,118.0,0.0,828.0,180,640,4.9,160.0,CCS,1700.0,620,5,AWD,F - Luxury,5223,1926,1518,Sedan
241,Mercedes-Benz,EQS 580 4MATIC,210,118.0,0.0,858.0,180,640,4.4,160.0,CCS,1700.0,620,5,AWD,F - Luxury,5223,1926,1518,Sedan
242,Mercedes-Benz,EQS AMG 53 4MATIC+,250,118.0,0.0,1020.0,222,585,3.4,160.0,CCS,1700.0,620,5,AWD,F - Luxury,5223,1926,1518,Sedan
243,Mercedes-Benz,EQS SUV 450 4MATIC,210,118.0,0.0,800.0,199,530,6.1,160.0,CCS,1800.0,645,7,AWD,JF - Luxury,5125,1959,1718,SUV
244,Mercedes-Benz,EQS SUV 450+,210,118.0,0.0,568.0,195,540,6.8,160.0,CCS,750.0,645,7,RWD,JF - Luxury,5125,1959,1718,SUV
245,Mercedes-Benz,EQS SUV 500 4MATIC,210,118.0,0.0,828.0,199,530,5.3,160.0,CCS,1800.0,645,7,AWD,JF - Luxury,5125,1959,1718,SUV
246,Mercedes-Benz,EQS SUV 580 4MATIC,210,118.0,0.0,858.0,199,530,4.7,160.0,CCS,1800.0,13 Banana Boxes,7,AWD,JF - Luxury,5125,1959,1718,SUV
247,Mercedes-Benz,EQS SUV Maybach 680,210,118.0,0.0,950.0,211,490,4.4,160.0,CCS,1800.0,440,4,AWD,JF - Luxury,5125,1959,1725,SUV
248,Mercedes-Benz,EQT 200 Long,132,45.0,0.0,245.0,177,220,13.3,50.0,CCS,1500.0,828,7,FWD,N - Passenger Van,4922,1859,1811,Small Passenger Van
249,Mercedes-Benz,EQT 200 Standard,132,45.0,0.0,245.0,167,225,12.6,50.0,CCS,1500.0,551,5,FWD,N - Passenger Van,4498,1859,1819,Small Passenger Van
250,Mercedes-Benz,EQV 250 Extra-Long,160,60.0,192.0,365.0,282,210,12.0,60.0,CCS,0.0,1410,7,FWD,N - Passenger Van,5370,1928,1911,Small Passenger Van
251,Mercedes-Benz,EQV 250 Long,160,60.0,192.0,365.0,282,215,12.0,60.0,CCS,0.0,1030,7,FWD,N - Passenger Van,5140,1928,1910,Small Passenger Van
252,Mercedes-Benz,EQV 300 Extra-Long,140,90.0,288.0,365.0,249,315,12.2,96.0,CCS,0.0,1410,7,FWD,N - Passenger Van,5370,1928,1901,Small Passenger Van
